Engine Fuel Type,Engine HP,Engine Cylinders,Transmission Type,Driven_Wheels,Market Category,Vehicle Size,Vehicle Style,Average MPG
0.7142857142857142,0.28012684989429176,0.375,0.25,1.0,0.9130434782608696,1.0,0.9333333333333333,26.5
1.0,0.12896405919661735,0.375,0.25,1.0,0.8985507246376812,0.5,0.9333333333333333,17.0
1.0,0.12896405919661735,0.375,0.25,1.0,0.8985507246376812,1.0,1.0,17.5
1.0,0.10887949260042284,0.375,0.25,1.0,0.8985507246376812,1.0,0.9333333333333333,19.5
1.0,0.12896405919661735,0.375,0.25,0.0,0.8985507246376812,1.0,1.0,16.5
1.0,0.12896405919661735,0.375,0.25,1.0,0.8985507246376812,1.0,0.9333333333333333,19.0
1.0,0.18287526427061312,0.375,0.75,1.0,0.9565217391304348,0.0,0.4,17.5
1.0,0.17124735729386895,0.375,0.25,1.0,0.8985507246376812,1.0,0.5333333333333333,18.5
1.0,0.18287526427061312,0.375,0.25,1.0,0.8985507246376812,0.5,0.9333333333333333,15.5
1.0,0.18287526427061312,0.375,0.75,1.0,0.9565217391304348,0.0,0.4,18.0
1.0,0.12896405919661735,0.375,0.25,0.0,0.8985507246376812,1.0,0.9333333333333333,17.0
1.0,0.17124735729386895,0.375,0.25,1.0,0.8985507246376812,1.0,0.5333333333333333,18.0
1.0,0.10887949260042284,0.375,0.25,1.0,0.8985507246376812,1.0,0.9333333333333333,20.5
1.0,0.12896405919661735,0.375,0.25,0.0,0.8985507246376812,1.0,1.0,17.0
1.0,0.17124735729386895,0.375,0.25,1.0,0.8985507246376812,1.0,0.5333333333333333,19.5
1.0,0.17124735729386895,0.375,0.25,1.0,0.8985507246376812,1.0,0.9333333333333333,19.5
1.0,0.18287526427061312,0.375,0.25,1.0,0.8985507246376812,0.5,0.9333333333333333,16.0
1.0,0.17230443974630022,0.375,0.75,0.6666666666666666,0.855072463768116,0.0,0.0,20.0
1.0,0.11205073995771672,0.375,0.75,0.6666666666666666,0.7101449275362319,0.0,0.0,19.5
1.0,0.28012684989429176,0.375,0.75,0.0,0.7681159420289855,0.0,0.0,19.0
1.0,0.258985200845666,0.375,0.25,1.0,0.9855072463768116,0.5,0.9333333333333333,25.0
1.0,0.25052854122621565,0.375,0.25,1.0,0.9855072463768116,0.5,0.9333333333333333,25.0
1.0,0.25052854122621565,0.375,0.25,1.0,0.9855072463768116,0.5,0.9333333333333333,24.5
1.0,0.258985200845666,0.375,0.25,1.0,0.9855072463768116,0.5,0.9333333333333333,24.5
0.8571428571428571,0.20613107822410148,0.375,0.25,0.6666666666666666,0.9855072463768116,0.5,0.9333333333333333,20.0
0.8571428571428571,0.21141649048625794,0.375,0.25,0.6666666666666666,0.9855072463768116,0.5,0.9333333333333333,20.5
